Company Name,Industry,Symbol,Series,ISIN Code
20 Microns Limited,,20MICRONS,EQ,INE144J01027
21st Century Management Services Limited,,21STCENMGM,EQ,INE253B01015
360 ONE WAM LIMITED,,360ONE,EQ,INE466L01038
3B Blackbio Dx Limited,,3BBLACKBIO,EQ,INE994E01018
3i Infotech Limited,,3IINFOLTD,EQ,INE748C01038
3M India Limited,,3MINDIA,EQ,INE470A01017
3P Land Holdings Limited,,3PLAND,EQ,INE105C01023
5Paisa Capital Limited,,5PAISA,EQ,INE618L01018
63 moons technologies limited,,63MOONS,EQ,INE111B01023
A2Z Infra Engineering Limited,,A2ZINFRA,EQ,INE619I01012
AAA Technologies Limited,,AAATECH,EQ,INE0D0U01013
Aadhar Housing Finance Limited,,AADHARHFC,EQ,INE883F01010
Aakash Exploration Services Limited,,AAKASH,EQ,INE087Z01024
Aarey Drugs & Pharmaceuticals Limited,,AAREYDRUGS,BE,INE198H01019
Aarnav Fashions Limited,,AARNAV,EQ,INE750R01016
Aaron Industries Limited,,AARON,EQ,INE721Z01010
Aartech Solonics Limited,,AARTECH,EQ,INE01C001026
Aarti Drugs Limited,,AARTIDRUGS,EQ,INE767A01016
Aarti Industries Limited,,AARTIIND,EQ,INE769A01020
Aarti Pharmalabs Limited,,AARTIPHARM,EQ,INE0LRU01027
Aarti Surfactants Limited,,AARTISURF,EQ,INE09EO01013
Aarvi Encon Limited,,AARVI,EQ,INE754X01016
Aavas Financiers Limited,,AAVAS,EQ,INE216P01012
Abans Enterprises Limited,,ABANSENT,BE,INE365O01028
ABB India Limited,,ABB,EQ,INE117A01022
Abbott India Limited,,ABBOTINDIA,EQ,INE358A01014
Aditya Birla Capital Limited,,ABCAPITAL,EQ,INE674K01013
A B Cotspin India Limited,,ABCOTS,EQ,INE08PH01015
Allied Blenders and Distillers Limited,,ABDL,EQ,INE552Z01027
Aditya Birla Fashion and Retail Limited,,ABFRL,EQ,INE647O01011
A B Infrabuild Limited,,ABINFRA,EQ,INE00YB01025
Aditya Birla Lifestyle Brands Limited,,ABLBL,EQ,INE14LE01019
ABM International Limited,,ABMINTLLTD,EQ,INE251C01025
ABM Knowledgeware Limited,,ABMKNO,EQ,INE850B01026
Aditya Birla Real Estate Limited,,ABREL,EQ,INE055A01016
Aditya Birla Sun Life AMC Limited,,ABSLAMC,EQ,INE404A01024
ACC Limited,,ACC,EQ,INE012A01025
Accelya Solutions India Limited,,ACCELYA,EQ,INE793A01012
Accuracy Shipping Limited,,ACCURACY,EQ,INE648Z01023
Action Construction Equipment Limited,,ACE,EQ,INE731H01025
Ace Integrated Solutions Limited,,ACEINTEG,EQ,INE543V01017
Archean Chemical Industries Limited,,ACI,EQ,INE128X01021
Andhra Cements Limited,,ACL,EQ,INE666E01020
Acme Solar Holdings Limited,,ACMESOLAR,EQ,INE622W01025
ACS Technologies Limited,,ACSTECH,EQ,INE366C01021
Acutaas Chemicals Limited,,ACUTAAS,EQ,INE00FF01025
Adani Energy Solutions Limited,,ADANIENSOL,EQ,INE931S01010
Adani Enterprises Limited,,ADANIENT,EQ,INE423A01024
Adani Green Energy Limited,,ADANIGREEN,EQ,INE364U01010
Adani Ports and Special Economic Zone Limited,,ADANIPORTS,EQ,INE742F01042
Adani Power Limited,,ADANIPOWER,EQ,INE814H01029
ADF Foods Limited,,ADFFOODS,EQ,INE982B01027
Archidply Decor Limited,,ADL,EQ,INE0CHO01012
Ador Welding Limited,,ADOR,EQ,INE045A01017
Adroit Infotech Limited,,ADROITINFO,EQ,INE737B01033
Allied Digital Services Limited,,ADSL,EQ,INE102I01027
Advait Energy Transitions Limited,,ADVAIT,EQ,INE0ALI01010
Advance Agrolife Limited,,ADVANCE,EQ,INE1B0W01010
Advani Hotels & Resorts (India) Limited,,ADVANIHOTR,EQ,INE199C01026
Advent Hotels International Limited,,ADVENTHTL,EQ,INE28GN01010
Advanced Enzyme Technologies Limited,,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Limited,,AEGISLOG,EQ,INE208C01025
Aegis Vopak Terminals Limited,,AEGISVOPAK,EQ,INE0INX01018
Artemis Electricals and Projects Limited,,AEPL,EQ,INE757T01025
Aequs Limited,,AEQUS,EQ,INE947N01017
Aeroflex Enterprises Limited,,AEROENTER,EQ,INE065D01027
Aeroflex Industries Limited,,AEROFLEX,EQ,INE024001021
